"date","value","series","series_id","category","unit","frequency"
2024-06-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2024-07-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2024-08-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2024-09-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2024-10-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2024-11-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2024-12-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-01-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-02-28,6.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-03-31,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-04-30,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-05-31,6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-06-30,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-07-31,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-08-31,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-09-30,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-10-31,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-11-30,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2025-12-31,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2026-01-31,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2026-02-28,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2026-03-31,6.1,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2026-04-30,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; All institutions","FLRHIFTA","Housing Finance","Per cent per annum","Month"
2019-07-31,4,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2019-08-31,3.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2019-09-30,3.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2019-10-31,3.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2019-11-30,3.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2019-12-31,3.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-01-31,3.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-02-29,3.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-03-31,3.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-04-30,3.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-05-31,3.1,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-06-30,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-07-31,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-08-31,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-09-30,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-10-31,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-11-30,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2020-12-31,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-01-31,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-02-28,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-03-31,2.8,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-04-30,2.8,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-05-31,2.8,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-06-30,2.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-07-31,2.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-08-31,2.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-09-30,2.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-10-31,2.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-11-30,2.8,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2021-12-31,2.8,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-01-31,2.8,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-02-28,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-03-31,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-04-30,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-05-31,3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-06-30,3.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-07-31,3.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-08-31,4.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-09-30,4.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-10-31,4.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-11-30,5.1,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2022-12-31,5.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-01-31,5.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-02-28,5.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-03-31,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-04-30,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-05-31,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-06-30,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-07-31,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-08-31,6.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-09-30,6.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-10-31,6.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-11-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2023-12-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-01-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-02-29,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-03-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-04-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-05-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-06-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-07-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-08-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-09-30,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-10-31,6.5,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-11-30,6.4,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2024-12-31,6.4,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-01-31,6.4,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-02-28,6.3,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-03-31,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-04-30,6.2,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-05-31,6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-06-30,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-07-31,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-08-31,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-09-30,5.7,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-10-31,5.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-11-30,5.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2025-12-31,5.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2026-01-31,5.6,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2026-02-28,5.9,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2026-03-31,6.1,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2026-04-30,6.1,"Lending rates; Housing credit; New loans funded in the month; Investment; All loans; Large institutions","FLRHIFTL","Housing Finance","Per cent per annum","Month"
2019-07-31,4,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2019-08-31,3.9,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2019-09-30,3.9,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2019-10-31,3.7,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2019-11-30,3.7,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2019-12-31,3.7,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-01-31,3.6,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-02-29,3.6,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-03-31,3.3,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-04-30,3.2,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-05-31,3.1,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-06-30,3.1,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-07-31,3,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-08-31,3.1,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-09-30,3,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-10-31,3,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-11-30,3,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2020-12-31,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
2021-01-31,2.9,"Lending rates; Housing credit; New loans funded in the month; Investment; By loan-to-valuation ratio at commitment; Greater than or equal to 81%","FLRHILB","Housing Finance","Per cent per annum","Month"
